STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
02320001;ST QUENTIN;3,206;49,818;98;2020/02/12;0,6;2,5;8,3;14,5;240;10,6;250;272;1,1
02320001;ST QUENTIN;3,206;49,818;98;2020/02/13;6,4;2,6;10,4;20,7;280;13,7;270;103;0,9
02320001;ST QUENTIN;3,206;49,818;98;2020/02/14;0,0;4,1;10,8;9,3;270;6,2;240;153;0,9
02320001;ST QUENTIN;3,206;49,818;98;2020/02/15;2,0;5,2;12,9;19,2;200;12,1;200;183;1,2
02320001;ST QUENTIN;3,206;49,818;98;2020/02/16;11,5;8,4;16,8;26,3;220;16,6;210;20;2,4
02320001;ST QUENTIN;3,206;49,818;98;2020/02/17;0,2;6,9;11,4;19,8;260;12,7;260;286;2,1
02320001;ST QUENTIN;3,206;49,818;98;2020/02/18;5,7;3,6;9,4;17,7;300;11,1;220;278;1,3
02320001;ST QUENTIN;3,206;49,818;98;2020/02/19;2,2;2,9;9,1;17,1;280;11,8;290;277;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/02/20;2,6;5,0;11,6;23,2;270;13,0;270;25;1,5
02320001;ST QUENTIN;3,206;49,818;98;2020/02/21;0,0;1,3;9,0;11,9;210;8,8;230;313;1,0
02320001;ST QUENTIN;3,206;49,818;98;2020/02/22;0,2;3,9;10,4;13,6;230;9,7;230;24;0,7
02320001;ST QUENTIN;3,206;49,818;98;2020/02/23;5,4;9,4;12,6;17,8;230;12,7;230;0;1,1
02320001;ST QUENTIN;3,206;49,818;98;2020/02/24;1,8;5,4;12,5;15,6;210;10,5;230;0;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/02/25;4,0;4,4;10,0;22,1;280;14,9;280;170;1,4
02320001;ST QUENTIN;3,206;49,818;98;2020/02/26;1,0;1,4;7,6;17,8;290;11,5;290;244;1,3
02320001;ST QUENTIN;3,206;49,818;98;2020/02/27;14,1;0,3;4,4;20,5;320;13,1;310;18;0,7
02320001;ST QUENTIN;3,206;49,818;98;2020/02/28;2,6;-1,2;10,4;15,0;180;9,7;180;11;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/02/29;0,6;6,1;12,5;27,1;220;17,0;220;93;2,2
02320001;ST QUENTIN;3,206;49,818;98;2020/03/01;8,7;4,4;8,7;15,7;220;10,4;220;191;1,3
02320001;ST QUENTIN;3,206;49,818;98;2020/03/02;2,0;3,1;8,2;13,9;340;7,7;320;3;0,7
02320001;ST QUENTIN;3,206;49,818;98;2020/03/03;2,2;0,0;8,2;9,3;320;6,8;270;194;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/03/04;5,2;0,8;8,2;9,4;170;6,5;170;15;0,6
02320001;ST QUENTIN;3,206;49,818;98;2020/03/05;11,8;5,6;10,7;14,9;310;9,5;310;42;0,5
02320001;ST QUENTIN;3,206;49,818;98;2020/03/06;0,2;4,9;9,2;14,8;310;9,6;310;49;1,6
02320001;ST QUENTIN;3,206;49,818;98;2020/03/07;0,0;-1,0;10,3;9,0;260;6,3;240;323;0,8
02320001;ST QUENTIN;3,206;49,818;98;2020/03/08;6,3;6,3;10,0;15,3;250;9,4;200;32;1,0
02320001;ST QUENTIN;3,206;49,818;98;2020/03/09;9,5;4,2;11,0;12,8;210;8,8;270;352;1,6
02320001;ST QUENTIN;3,206;49,818;98;2020/03/10;2,8;6,5;13,9;16,6;200;10,4;200;0;0,2
02320001;ST QUENTIN;3,206;49,818;98;2020/03/11;0,4;12,2;14,7;16,6;220;11,4;230;18;2,2
02320001;ST QUENTIN;3,206;49,818;98;2020/03/12;0,6;7,1;11,8;18,8;280;12,6;280;291;2,8
02320001;ST QUENTIN;3,206;49,818;98;2020/03/13;1,6;3,9;11,4;12,1;240;8,7;260;368;1,8
02320001;ST QUENTIN;3,206;49,818;98;2020/03/14;0,4;3,6;10,3;10,7;180;8,0;180;78;0,7
02320001;ST QUENTIN;3,206;49,818;98;2020/03/15;0,0;6,0;15,3;12,6;200;8,5;200;221;2,2
02320001;ST QUENTIN;3,206;49,818;98;2020/03/16;0,0;3,6;10,5;6,0;310;4,3;300;36;0,6
02320001;ST QUENTIN;3,206;49,818;98;2020/03/17;0,2;1,1;14,6;5,5;220;3,5;270;630;1,3
02320001;ST QUENTIN;3,206;49,818;98;2020/03/18;0,0;4,4;17,0;7,7;220;5,0;260;614;1,5
02320001;ST QUENTIN;3,206;49,818;98;2020/03/19;0,2;6,5;17,5;7,1;20;5,2;20;258;2,1
02320001;ST QUENTIN;3,206;49,818;98;2020/03/20;0,8;7,2;9,5;13,3;30;8,3;20;0;0,9
02320001;ST QUENTIN;3,206;49,818;98;2020/03/21;0,0;4,5;8,1;13,9;80;9,3;80;0;1,7
02320001;ST QUENTIN;3,206;49,818;98;2020/03/22;0,0;1,1;12,3;15,5;100;11,5;100;642;3,2
02320001;ST QUENTIN;3,206;49,818;98;2020/03/23;0,0;-1,2;10,7;14,0;110;10,2;120;695;3,1
02320001;ST QUENTIN;3,206;49,818;98;2020/03/24;0,0;-1,5;11,4;10,6;120;7,8;130;698;3,0
02320001;ST QUENTIN;3,206;49,818;98;2020/03/25;0,0;-1,6;11,4;11,1;10;7,6;20;700;2,8
02320001;ST QUENTIN;3,206;49,818;98;2020/03/26;0,0;0,3;10,5;11,3;70;7,7;70;704;3,0
02320001;ST QUENTIN;3,206;49,818;98;2020/03/27;0,0;0,7;12,3;11,3;40;6,5;10;649;2,3
02320001;ST QUENTIN;3,206;49,818;98;2020/03/28;0,0;4,2;15,0;17,7;10;11,5;20;706;2,9
02320001;ST QUENTIN;3,206;49,818;98;2020/03/29;0,0;2,8;8,5;20,6;40;13,2;40;331;3,4
